pubchem_cid	pubchem_cid_parent	canonical_smiles	canonical_smiles_parent
10607	10607	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
10631	10631	CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C	CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
10836	10836	CC(CC1=CC=CC=C1)NC	CC(CC1=CC=CC=C1)NC
10917	10918	C[N+](C)(C)CC(CC(=O)[O-])O	C[N+](C)(C)CC(CC(=O)O)O
11333	11333	C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O	C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O
11339	11339	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
12035	12035	CC(=O)NC(CS)C(=O)O	CC(=O)NC(CS)C(=O)O
12555	12555	CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3	CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
12560	12560	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
12620	12620	CCCCCCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCCCCCO
13109	13109	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
13344	311	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+]	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
14051	14052	CCC(CO)NCCNC(CC)CO.Cl.Cl	CCC(CO)NCCNC(CC)CO
14756	14756	CC1=C(C=C(C=C1)S(=O)(=O)O)C	CC1=C(C=C(C=C1)S(=O)(=O)O)C
14791	14791	[OH-].[OH-].[Mg+2]	[OH-].[OH-].[Mg+2]
14888	14888	[O-2].[O-2].[O-2].[As+3].[As+3]	[O-2].[O-2].[O-2].[As+3].[As+3]
14969	14969	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
15209	15209	CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C	CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
15541	15541	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
16078	16078	CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1)O	CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1)O
16230	16231	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
16362	16362	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
16850	16850	C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O	C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O
18283	18283	CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO	CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO
18381	18381	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
19090	19090	CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C	CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
19493	19493	C1C(C1N)C2=CC=CC=C2	C1C(C1N)C2=CC=CC=C2
19648	19649	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O
20279	20279	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
20469	20469	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C
20585	20585	CN1C2=C(C(=O)N(C1=O)C)NC=N2.C[N+](C)(C)CCO	CN1C2=C(C(=O)N(C1=O)C)NC=N2.C[N+](C)(C)CCO
20824	20824	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C
23897	23897	CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C	CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C
23954	23954	[Ag]	[Ag]
23987	23987	[He]	[He]
24066	24066	C1CC(OC1CO)N2C=CC(=NC2=O)N	C1CC(OC1CO)N2C=CC(=NC2=O)N
24393	24393	[O-]S(=O)(=O)[O-].[Fe+2]	[O-]S(=O)(=O)[O-].[Fe+2]
24750	24750	CCCCCCCCCCCCOCCO	CCCCCCCCCCCCOCCO
24843	24843	O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Mg+2]	O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Mg+2]
25419	25419	C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl	C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl
25959	25959	[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2]	[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2]
26133	26133	CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO	CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO
26757	26757	CC(CC1=CC=CC=C1)N(C)CC#C	CC(CC1=CC=CC=C1)N(C)CC#C
26924	26924	O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2].[Mg+2]	O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2].[Mg+2]
26987	26987	CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C	CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C
